USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  21464 13324 ?        Ss   15:51   0:02 /sbin/init splash noautomount splash
root         103  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-kthrotld]
root         107  0.0  0.0      0     0 ?        S    15:51   0:00 [irq/26-aerdrv]
root         108  0.0  0.0      0     0 ?        S    15:51   0:00 [irq/26-pciehp]
root         109  0.0  0.0      0     0 ?        S    15:51   0:00 [irq/27-aerdrv]
root         110  0.0  0.0      0     0 ?        S    15:51   0:00 [irq/29-aerdrv]
root         111  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-acpi_thermal_pm]
root         112  0.0  0.0      0     0 ?        I    15:51   0:01 [kworker/2:1-events]
root         114  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-mld]
root         115  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/3:1H-kblockd]
root         116  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-ipv6_addrconf]
root         121  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-kstrp]
root         130  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-cryptd]
root         229  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/2:1H-kblockd]
root         267  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/7:1H-kblockd]
root         271  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/6:1H-kblockd]
root         276  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/4:1H-kblockd]
root         282  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/1:1H-kblockd]
root         307  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-nvme-wq]
root         308  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-nvme-reset-wq]
root         309  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-nvme-delete-wq]
root         310  0.0  0.0      0     0 ?        I<   15:51   0:00 [kworker/R-nvme-auth-wq]
